"kind" "grade" "fname"
"1" "train" "white" "5314_Control_stained_w_CWF__4c.bmp"
"2" "train" "opaque" "5314_Control_stained_w_CWF__4c.bmp"
"3" "train" "gray" "5314_Control_stained_w_CWF__4c.bmp"
"4" "train" "shmoo" "5314_Control_stained_w_CWF__4c.bmp"
"5" "train" "pseudohyphae" "5314_Control_stained_w_CWF__4c.bmp"
"6" "train" "hyphae" "5314_Control_stained_w_CWF__4c.bmp"
"7" "train" "white" "WT cells 16.bmp"
"8" "train" "opaque" "WT cells 16.bmp"
"9" "train" "gray" "WT cells 16.bmp"
"10" "train" "shmoo" "WT cells 16.bmp"
"11" "train" "pseudohyphae" "WT cells 16.bmp"
"12" "train" "hyphae" "WT cells 16.bmp"
"13" "validation" "white" "WT cells 48.bmp"
"14" "validation" "opaque" "WT cells 48.bmp"
"15" "validation" "gray" "WT cells 48.bmp"
"16" "validation" "shmoo" "WT cells 48.bmp"
"17" "validation" "pseudohyphae" "WT cells 48.bmp"
"18" "validation" "hyphae" "WT cells 48.bmp"
"19" "validation" "white" "WT cells 2.bmp"
"20" "validation" "opaque" "WT cells 2.bmp"
"21" "validation" "gray" "WT cells 2.bmp"
"22" "validation" "shmoo" "WT cells 2.bmp"
"23" "validation" "pseudohyphae" "WT cells 2.bmp"
"24" "validation" "hyphae" "WT cells 2.bmp"
"25" "train" "white" "WT cells 19.bmp"
"26" "train" "opaque" "WT cells 19.bmp"
"27" "train" "gray" "WT cells 19.bmp"
"28" "train" "shmoo" "WT cells 19.bmp"
"29" "train" "pseudohyphae" "WT cells 19.bmp"
"30" "train" "hyphae" "WT cells 19.bmp"
"31" "train" "white" "5314_Control_stained_w_CWF__14.bmp"
"32" "train" "opaque" "5314_Control_stained_w_CWF__14.bmp"
"33" "train" "gray" "5314_Control_stained_w_CWF__14.bmp"
"34" "train" "shmoo" "5314_Control_stained_w_CWF__14.bmp"
"35" "train" "pseudohyphae" "5314_Control_stained_w_CWF__14.bmp"
"36" "train" "hyphae" "5314_Control_stained_w_CWF__14.bmp"
"37" "validation" "white" "5314_Control_stained_w_CWF__15b.bmp"
"38" "validation" "opaque" "5314_Control_stained_w_CWF__15b.bmp"
"39" "validation" "gray" "5314_Control_stained_w_CWF__15b.bmp"
"40" "validation" "shmoo" "5314_Control_stained_w_CWF__15b.bmp"
"41" "validation" "pseudohyphae" "5314_Control_stained_w_CWF__15b.bmp"
"42" "validation" "hyphae" "5314_Control_stained_w_CWF__15b.bmp"
"43" "train" "white" "5314_Control_stained_w_CWF__17.bmp"
"44" "train" "opaque" "5314_Control_stained_w_CWF__17.bmp"
"45" "train" "gray" "5314_Control_stained_w_CWF__17.bmp"
"46" "train" "shmoo" "5314_Control_stained_w_CWF__17.bmp"
"47" "train" "pseudohyphae" "5314_Control_stained_w_CWF__17.bmp"
"48" "train" "hyphae" "5314_Control_stained_w_CWF__17.bmp"
"49" "validation" "white" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__7.bmp"
"50" "validation" "opaque" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__7.bmp"
"51" "validation" "gray" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__7.bmp"
"52" "validation" "shmoo" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__7.bmp"
"53" "validation" "pseudohyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__7.bmp"
"54" "validation" "hyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__7.bmp"
"55" "validation" "white" "5314_Control_stained_w_CWF__3c.bmp"
"56" "validation" "opaque" "5314_Control_stained_w_CWF__3c.bmp"
"57" "validation" "gray" "5314_Control_stained_w_CWF__3c.bmp"
"58" "validation" "shmoo" "5314_Control_stained_w_CWF__3c.bmp"
"59" "validation" "pseudohyphae" "5314_Control_stained_w_CWF__3c.bmp"
"60" "validation" "hyphae" "5314_Control_stained_w_CWF__3c.bmp"
"61" "train" "white" "OP and WH 46.bmp"
"62" "train" "opaque" "OP and WH 46.bmp"
"63" "train" "gray" "OP and WH 46.bmp"
"64" "train" "shmoo" "OP and WH 46.bmp"
"65" "train" "pseudohyphae" "OP and WH 46.bmp"
"66" "train" "hyphae" "OP and WH 46.bmp"
"67" "validation" "opaque" "OP and WH 7.bmp"
"68" "validation" "gray" "OP and WH 7.bmp"
"69" "validation" "shmoo" "OP and WH 7.bmp"
"70" "validation" "pseudohyphae" "OP and WH 7.bmp"
"71" "validation" "hyphae" "OP and WH 7.bmp"
"72" "train" "shmoo" "SHMOO 5.bmp"
"73" "train" "pseudohyphae" "SHMOO 5.bmp"
"74" "train" "hyphae" "SHMOO 5.bmp"
"75" "train" "white" "WT cells 38.bmp"
"76" "train" "opaque" "WT cells 38.bmp"
"77" "train" "gray" "WT cells 38.bmp"
"78" "train" "shmoo" "WT cells 38.bmp"
"79" "train" "pseudohyphae" "WT cells 38.bmp"
"80" "train" "hyphae" "WT cells 38.bmp"
"81" "validation" "white" "WT cells 37.bmp"
"82" "validation" "opaque" "WT cells 37.bmp"
"83" "validation" "gray" "WT cells 37.bmp"
"84" "validation" "shmoo" "WT cells 37.bmp"
"85" "validation" "pseudohyphae" "WT cells 37.bmp"
"86" "validation" "hyphae" "WT cells 37.bmp"
"87" "train" "white" "5314_in_YPD_30_degrees_75RPM_after_3hrs_30min__8.bmp"
"88" "train" "opaque" "5314_in_YPD_30_degrees_75RPM_after_3hrs_30min__8.bmp"
"89" "train" "gray" "5314_in_YPD_30_degrees_75RPM_after_3hrs_30min__8.bmp"
"90" "train" "shmoo" "5314_in_YPD_30_degrees_75RPM_after_3hrs_30min__8.bmp"
"91" "train" "pseudohyphae" "5314_in_YPD_30_degrees_75RPM_after_3hrs_30min__8.bmp"
"92" "train" "hyphae" "5314_in_YPD_30_degrees_75RPM_after_3hrs_30min__8.bmp"
"93" "validation" "white" "WT cells 41.bmp"
"94" "validation" "opaque" "WT cells 41.bmp"
"95" "validation" "gray" "WT cells 41.bmp"
"96" "validation" "shmoo" "WT cells 41.bmp"
"97" "validation" "pseudohyphae" "WT cells 41.bmp"
"98" "validation" "hyphae" "WT cells 41.bmp"
"99" "train" "white" "WT cells 8.bmp"
"100" "train" "opaque" "WT cells 8.bmp"
"101" "train" "gray" "WT cells 8.bmp"
"102" "train" "shmoo" "WT cells 8.bmp"
"103" "train" "pseudohyphae" "WT cells 8.bmp"
"104" "train" "hyphae" "WT cells 8.bmp"
"105" "validation" "white" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_2.bmp"
"106" "validation" "opaque" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_2.bmp"
"107" "validation" "gray" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_2.bmp"
"108" "validation" "shmoo" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_2.bmp"
"109" "validation" "pseudohyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_2.bmp"
"110" "validation" "hyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_2.bmp"
"111" "train" "white" "WT cells 15.bmp"
"112" "train" "opaque" "WT cells 15.bmp"
"113" "train" "gray" "WT cells 15.bmp"
"114" "train" "shmoo" "WT cells 15.bmp"
"115" "train" "pseudohyphae" "WT cells 15.bmp"
"116" "train" "hyphae" "WT cells 15.bmp"
